Employee_id,Department_id,First_name,Last_name,Gender,Email,Phone,Hire_date,Experience,salary
100,90,steven,king,M,sking@google.com@khan.com,515.123.4567,17=06=1987,16,24000
101,90,neena,kochhar,F,NKOCHHAR@gmail.com@khan.com,515.123.4568,18=06=1992,3,17000
102,90,lex,de haan,M,LDEHAAN@gmail.com@khan.com,515.123.4569,19=06=1992,6,17000
103,60,alexander,hunold,M,AHUNOLD@gmail.com@khan.com,590.423.4567,20=06=1992,2,9000
104,60,bruce,ernst,M,BERNST@gmail.com@khan.com,590.423.4568,21=06=1992,13,6000
105,60,david,austin,M,DAUSTIN@gmail.com@khan.com,590.423.4569,22=06=1992,19,4800
106,60,valli,pataballa,M,VPATABAL@gmail.com@khan.com,590.423.4560,23=06=1987,16,4800
107,60,diana,lorentz,F,DLORENTZ@gmail.com@khan.com,590.423.5567,24=06=1987,1,4200
108,100,nancy,greenberg,F,NGREENBE@gmail.com@khan.com,515.124.4569,25=06=1987,18,12000
109,100,daniel,faviet,M,DFAVIET@gmail.com@khan.com,515.124.4169,26=06=1987,7,9000
110,100,john,chen,M,JCHEN@gmail.com@khan.com,515.124.4269,27=06=1987,2,8200
111,100,ismael,sciarra,M,ISCIARRA@yahoo.com,515.124.4369,28=06=1987,8,7700
112,100,jose manuel,urman,M,JMURMAN@yahoo.com,515.124.4469,29=06=1987,14,7800
113,100,luis,popp,M,LPOPP@yahoo.com,515.124.4567,30=06=1987,5,6900
114,30,den,raphaely,M,DRAPHEAL@yahoo.com,515.127.4561,01=07=1987,2,11000
115,30,alexander,khoo,M,AKHOO@yahoo.com,515.127.4562,02=07=1987,17,3100
116,30,shelli,baida,F,SBAIDA@yahoo.com,515.127.4563,03=07=1987,19,2900
117,30,sigal,tobias,M,STOBIAS@yahoo.com,515.127.4564,04=07=1987,2,2800
118,30,guy,himuro,M,GHIMURO@yahoo.com,515.127.4565,05=07=1987,16,2600
119,30,karen,colmenares,M,KCOLMENA@yahoo.com,515.127.4566,06=07=1987,13,2500
120,50,matthew,weiss,M,MWEISS@yahoo.com,650.123.1234,07=07=1987,16,8000
121,50,adam,fripp,M,AFRIPP@aol.com,650.123.2234,08=07=1987,1,8200
122,50,payam,kaufling,M,PKAUFLIN@aol.com,650.123.3234,09=07=1987,17,7900
123,50,shanta,vollman,F,SVOLLMAN@aol.com,650.123.4234,10=07=1987,2,6500
124,50,kevin,mourgos,M,KMOURGOS@aol.com,650.123.5234,11=07=1987,1,5800
125,50,julia,nayer,F,JNAYER@aol.com,650.124.1214,12=07=1987,17,3200
